{'weight_decay': 0, 'run_no': 1, 'save_dir': 'save_temp', 'save_every': 5, 'biased': False, 'level': 32, 'compress': False, 'device': 0, 'workers': 4, 'port': '29500', 'method': 'svd', 'skew': 0.0, 'n_clients': 1, 'frac': 1, 'momentum': 0.0, 'increment_th': 0.001, 'lr': 0.01, 'batch_size': 64, 'deterministic': True, 'arch': 'resnet', 'dataset': '5datasets', 'classes': 10, 'num_tasks': 5, 'print_times': 5, 'wandb': True, 'baseline': 'fdr', 'seed': 1, 'local_epochs': 50, 'buffer_size': 617, 'threshold': 0.9, 'alpha': 0.1, 'beta': 0.5, 'alpha_fdr': 0.6}
Random seed set to: 1
Number of GPU available:  1
Files already downloaded and verified
Using downloaded and verified file: Five_data/SVHN/test_32x32.mat
Files already downloaded and verified
Using downloaded and verified file: Five_data/SVHN/train_32x32.mat
Data partition_sizes among clients: [1.0]
Epoch: 0, Task: 0, Avg train Loss: 1.4635
Epoch: 1, Task: 0, Avg train Loss: 1.0501
Epoch: 2, Task: 0, Avg train Loss: 0.8319
Epoch: 3, Task: 0, Avg train Loss: 0.6798
Epoch: 4, Task: 0, Avg train Loss: 0.5550
Epoch: 5, Task: 0, Avg train Loss: 0.4455
Epoch: 6, Task: 0, Avg train Loss: 0.3486
Epoch: 7, Task: 0, Avg train Loss: 0.2557
Epoch: 8, Task: 0, Avg train Loss: 0.1787
Epoch: 9, Task: 0, Avg train Loss: 0.1249, Current Val Acc: 65.43, Accumulated Val Acc: 65.43
Epoch: 10, Task: 0, Avg train Loss: 0.0884
Epoch: 11, Task: 0, Avg train Loss: 0.0489
Epoch: 12, Task: 0, Avg train Loss: 0.0306
Epoch: 13, Task: 0, Avg train Loss: 0.0175
Epoch: 14, Task: 0, Avg train Loss: 0.0088
Epoch: 15, Task: 0, Avg train Loss: 0.0049
Epoch: 16, Task: 0, Avg train Loss: 0.0031
Epoch: 17, Task: 0, Avg train Loss: 0.0025
Epoch: 18, Task: 0, Avg train Loss: 0.0019
Epoch: 19, Task: 0, Avg train Loss: 0.0016, Current Val Acc: 76.25, Accumulated Val Acc: 76.25
Epoch: 20, Task: 0, Avg train Loss: 0.0013
Epoch: 21, Task: 0, Avg train Loss: 0.0011
Epoch: 22, Task: 0, Avg train Loss: 0.0011
Epoch: 23, Task: 0, Avg train Loss: 0.0010
Epoch: 24, Task: 0, Avg train Loss: 0.0011
Epoch: 25, Task: 0, Avg train Loss: 0.0008
Epoch: 26, Task: 0, Avg train Loss: 0.0009
Epoch: 27, Task: 0, Avg train Loss: 0.0008
Epoch: 28, Task: 0, Avg train Loss: 0.0008
Epoch: 29, Task: 0, Avg train Loss: 0.0008, Current Val Acc: 76.06, Accumulated Val Acc: 76.06
Epoch: 30, Task: 0, Avg train Loss: 0.0007
Epoch: 31, Task: 0, Avg train Loss: 0.0008
Epoch: 32, Task: 0, Avg train Loss: 0.0008
Epoch: 33, Task: 0, Avg train Loss: 0.0008
Epoch: 34, Task: 0, Avg train Loss: 0.0008
Epoch: 35, Task: 0, Avg train Loss: 0.0008
Epoch: 36, Task: 0, Avg train Loss: 0.0007
Epoch: 37, Task: 0, Avg train Loss: 0.0007
